,Trial0,Trial1,Trial10,Trial11,Trial12,Trial13,Trial14,Trial15,Trial16,Trial17,Trial18,Trial19,Trial2,Trial20,Trial21,Trial22,Trial23,Trial24,Trial25,Trial26,Trial27,Trial28,Trial29,Trial3,Trial30,Trial31,Trial32,Trial33,Trial34,Trial35,Trial36,Trial37,Trial38,Trial39,Trial4,Trial40,Trial41,Trial42,Trial43,Trial44,Trial45,Trial46,Trial47,Trial48,Trial49,Trial5,Trial50,Trial51,Trial52,Trial53,Trial54,Trial55,Trial56,Trial57,Trial58,Trial59,Trial6,Trial60,Trial61,Trial62,Trial63,Trial64,Trial65,Trial66,Trial67,Trial68,Trial69,Trial7,Trial70,Trial71,Trial72,Trial73,Trial74,Trial75,Trial76,Trial77,Trial78,Trial79,Trial8,Trial80,Trial81,Trial82,Trial83,Trial84,Trial85,Trial86,Trial87,Trial88,Trial89,Trial9,Trial90,Trial91,Trial92,Trial93,Trial94,Trial95,Trial96,Trial97,Trial98,Trial99
65,26.0,23.0,23.0,24.0,21.0,23.0,23.0,22.0,23.0,23.0,26.0,24.0,23.0,21.0,21.0,25.0,21.0,23.0,23.0,25.0,24.0,21.0,24.0,22.0,25.0,22.0,22.0,23.0,23.0,25.0,23.0,23.0,25.0,25.0,23.0,25.0,24.0,23.0,24.0,25.0,24.0,23.0,27.0,25.0,26.0,22.0,23.0,22.0,25.0,22.0,24.0,23.0,21.0,23.0,25.0,23.0,27.0,24.0,23.0,24.0,22.0,23.0,22.0,23.0,21.0,22.0,25.0,23.0,23.0,26.0,26.0,25.0,23.0,22.0,23.0,24.0,24.0,23.0,23.0,22.0,23.0,24.0,22.0,24.0,24.0,23.0,26.0,21.0,22.0,23.0,26.0,24.0,22.0,25.0,23.0,22.0,22.0,23.0,26.0,23.0
66,26.0,24.0,24.0,25.0,22.0,24.0,23.0,23.0,23.0,23.0,26.0,25.0,23.0,21.0,22.0,25.0,21.0,23.0,23.0,25.0,25.0,21.0,24.0,22.0,25.0,23.0,22.0,23.0,23.0,25.0,23.0,24.0,25.0,25.0,23.0,25.0,24.0,23.0,24.0,25.0,25.0,24.0,27.0,25.0,26.0,22.0,23.0,22.0,26.0,22.0,25.0,23.0,21.0,23.0,25.0,23.0,27.0,25.0,23.0,24.0,22.0,23.0,22.0,24.0,22.0,22.0,26.0,23.0,23.0,26.0,26.0,25.0,23.0,22.0,23.0,25.0,25.0,23.0,23.0,23.0,24.0,25.0,22.0,24.0,24.0,24.0,26.0,22.0,22.0,24.0,26.0,24.0,23.0,25.0,23.0,23.0,22.0,23.0,26.0,24.0
67,26.0,25.0,24.0,25.0,22.0,24.0,23.0,23.0,23.0,23.0,27.0,25.0,23.0,21.0,22.0,25.0,21.0,24.0,23.0,26.0,25.0,22.0,24.0,22.0,26.0,23.0,23.0,23.0,23.0,25.0,24.0,24.0,25.0,25.0,23.0,25.0,25.0,23.0,24.0,26.0,25.0,24.0,27.0,26.0,27.0,22.0,23.0,22.0,26.0,23.0,25.0,23.0,22.0,23.0,26.0,24.0,28.0,26.0,24.0,25.0,23.0,23.0,23.0,25.0,22.0,23.0,26.0,23.0,24.0,27.0,27.0,25.0,24.0,23.0,23.0,25.0,25.0,24.0,23.0,23.0,24.0,25.0,23.0,25.0,24.0,24.0,26.0,23.0,23.0,24.0,26.0,24.0,23.0,26.0,23.0,24.0,23.0,23.0,27.0,24.0
68,26.0,25.0,25.0,26.0,22.0,25.0,23.0,24.0,24.0,24.0,28.0,26.0,24.0,22.0,22.0,25.0,22.0,24.0,24.0,26.0,25.0,22.0,25.0,23.0,26.0,23.0,24.0,24.0,24.0,26.0,24.0,24.0,26.0,26.0,24.0,25.0,25.0,23.0,25.0,26.0,26.0,24.0,27.0,26.0,27.0,22.0,23.0,23.0,27.0,23.0,26.0,23.0,23.0,23.0,27.0,24.0,28.0,26.0,25.0,25.0,24.0,23.0,24.0,25.0,22.0,23.0,26.0,23.0,24.0,27.0,27.0,25.0,24.0,23.0,24.0,25.0,25.0,25.0,24.0,23.0,24.0,26.0,23.0,25.0,25.0,24.0,26.0,23.0,24.0,24.0,27.0,24.0,23.0,26.0,23.0,24.0,24.0,24.0,27.0,24.0
69,27.0,25.0,25.0,26.0,22.0,25.0,24.0,24.0,25.0,24.0,28.0,26.0,24.0,22.0,23.0,26.0,22.0,24.0,25.0,27.0,26.0,22.0,25.0,23.0,27.0,23.0,24.0,24.0,24.0,26.0,25.0,25.0,26.0,26.0,24.0,25.0,25.0,24.0,25.0,27.0,26.0,24.0,28.0,26.0,28.0,23.0,23.0,24.0,27.0,24.0,26.0,23.0,23.0,24.0,27.0,25.0,28.0,26.0,25.0,25.0,24.0,23.0,24.0,25.0,23.0,23.0,26.0,24.0,24.0,27.0,28.0,26.0,24.0,23.0,24.0,25.0,25.0,25.0,24.0,23.0,25.0,26.0,23.0,25.0,25.0,24.0,26.0,23.0,24.0,24.0,27.0,24.0,24.0,26.0,24.0,24.0,24.0,24.0,27.0,25.0
70,27.0,26.0,25.0,26.0,23.0,26.0,24.0,24.0,25.0,24.0,28.0,26.0,24.0,23.0,23.0,26.0,23.0,25.0,25.0,27.0,26.0,23.0,26.0,23.0,27.0,23.0,24.0,24.0,24.0,26.0,26.0,25.0,27.0,27.0,25.0,25.0,26.0,24.0,26.0,27.0,26.0,25.0,28.0,26.0,28.0,23.0,23.0,24.0,28.0,24.0,26.0,24.0,23.0,24.0,27.0,25.0,28.0,26.0,25.0,26.0,24.0,24.0,25.0,25.0,23.0,23.0,26.0,24.0,25.0,28.0,28.0,26.0,25.0,23.0,25.0,26.0,25.0,25.0,25.0,24.0,25.0,27.0,23.0,26.0,26.0,24.0,27.0,23.0,24.0,24.0,27.0,25.0,24.0,26.0,24.0,25.0,24.0,25.0,27.0,25.0
71,28.0,26.0,25.0,26.0,23.0,26.0,24.0,24.0,25.0,25.0,28.0,26.0,25.0,23.0,23.0,26.0,23.0,25.0,26.0,28.0,27.0,24.0,26.0,24.0,28.0,23.0,24.0,25.0,25.0,27.0,26.0,25.0,28.0,27.0,25.0,26.0,26.0,24.0,26.0,27.0,27.0,25.0,29.0,27.0,28.0,23.0,24.0,24.0,28.0,24.0,27.0,24.0,24.0,25.0,27.0,25.0,29.0,27.0,26.0,26.0,24.0,24.0,25.0,25.0,23.0,24.0,27.0,25.0,25.0,29.0,28.0,27.0,26.0,24.0,25.0,26.0,26.0,25.0,25.0,25.0,25.0,27.0,23.0,26.0,26.0,24.0,27.0,23.0,25.0,25.0,28.0,25.0,25.0,27.0,24.0,25.0,24.0,25.0,28.0,25.0
72,28.0,26.0,26.0,26.0,23.0,26.0,25.0,25.0,25.0,25.0,29.0,27.0,25.0,23.0,24.0,27.0,23.0,25.0,26.0,28.0,27.0,24.0,26.0,24.0,28.0,24.0,24.0,25.0,25.0,27.0,26.0,26.0,29.0,28.0,25.0,26.0,26.0,25.0,26.0,28.0,27.0,26.0,29.0,27.0,29.0,24.0,24.0,24.0,28.0,24.0,28.0,24.0,24.0,25.0,27.0,25.0,29.0,27.0,26.0,26.0,24.0,25.0,26.0,26.0,23.0,24.0,27.0,25.0,26.0,29.0,29.0,27.0,26.0,24.0,25.0,27.0,26.0,25.0,26.0,25.0,26.0,27.0,24.0,27.0,27.0,24.0,27.0,23.0,25.0,25.0,28.0,25.0,26.0,27.0,25.0,26.0,25.0,25.0,28.0,26.0
73,28.0,27.0,27.0,26.0,24.0,27.0,25.0,25.0,25.0,25.0,30.0,27.0,25.0,24.0,24.0,27.0,24.0,25.0,26.0,28.0,27.0,24.0,26.0,24.0,28.0,24.0,25.0,25.0,26.0,28.0,26.0,27.0,29.0,28.0,26.0,27.0,27.0,25.0,26.0,28.0,27.0,26.0,30.0,28.0,29.0,24.0,25.0,25.0,29.0,25.0,28.0,24.0,25.0,25.0,28.0,25.0,30.0,28.0,26.0,26.0,24.0,25.0,26.0,26.0,24.0,25.0,27.0,25.0,26.0,29.0,29.0,27.0,26.0,25.0,25.0,27.0,26.0,25.0,26.0,26.0,26.0,27.0,24.0,27.0,27.0,25.0,28.0,24.0,25.0,25.0,29.0,26.0,26.0,27.0,25.0,26.0,25.0,25.0,28.0,26.0
74,28.0,27.0,27.0,27.0,24.0,27.0,26.0,26.0,25.0,25.0,30.0,28.0,26.0,24.0,24.0,27.0,24.0,26.0,27.0,29.0,27.0,25.0,26.0,25.0,28.0,25.0,25.0,26.0,26.0,28.0,26.0,27.0,29.0,29.0,26.0,27.0,27.0,25.0,27.0,29.0,28.0,26.0,30.0,28.0,29.0,24.0,25.0,26.0,29.0,25.0,28.0,25.0,25.0,26.0,28.0,26.0,30.0,28.0,26.0,27.0,25.0,25.0,27.0,27.0,24.0,25.0,27.0,26.0,27.0,29.0,29.0,27.0,26.0,25.0,26.0,27.0,27.0,26.0,26.0,27.0,26.0,28.0,24.0,27.0,28.0,25.0,29.0,24.0,26.0,26.0,29.0,26.0,26.0,28.0,26.0,26.0,26.0,26.0,29.0,27.0
75,28.0,27.0,27.0,27.0,24.0,27.0,26.0,26.0,26.0,25.0,31.0,28.0,26.0,25.0,25.0,27.0,24.0,26.0,28.0,29.0,28.0,25.0,27.0,25.0,29.0,25.0,26.0,26.0,26.0,28.0,26.0,27.0,29.0,30.0,26.0,28.0,28.0,26.0,27.0,29.0,28.0,27.0,30.0,28.0,30.0,25.0,25.0,26.0,30.0,26.0,28.0,26.0,25.0,26.0,29.0,26.0,30.0,29.0,26.0,27.0,25.0,26.0,27.0,27.0,25.0,26.0,27.0,26.0,27.0,30.0,29.0,28.0,26.0,25.0,27.0,27.0,27.0,26.0,27.0,27.0,26.0,28.0,25.0,27.0,28.0,25.0,29.0,24.0,26.0,26.0,29.0,27.0,27.0,28.0,26.0,26.0,26.0,26.0,30.0,27.0
76,29.0,28.0,28.0,27.0,25.0,27.0,26.0,26.0,26.0,26.0,31.0,29.0,26.0,25.0,25.0,27.0,24.0,26.0,28.0,30.0,28.0,25.0,27.0,25.0,29.0,25.0,26.0,26.0,26.0,28.0,27.0,27.0,29.0,30.0,26.0,28.0,28.0,26.0,27.0,29.0,28.0,27.0,31.0,29.0,30.0,25.0,26.0,26.0,30.0,26.0,29.0,27.0,25.0,26.0,29.0,26.0,31.0,29.0,27.0,28.0,25.0,26.0,27.0,27.0,25.0,26.0,28.0,26.0,27.0,30.0,30.0,28.0,27.0,25.0,27.0,28.0,27.0,26.0,28.0,27.0,27.0,29.0,25.0,27.0,28.0,25.0,29.0,24.0,26.0,27.0,29.0,28.0,27.0,28.0,27.0,27.0,26.0,26.0,31.0,27.0
77,29.0,28.0,29.0,28.0,25.0,28.0,26.0,27.0,26.0,26.0,31.0,29.0,26.0,25.0,25.0,28.0,25.0,27.0,28.0,30.0,28.0,25.0,28.0,26.0,30.0,25.0,26.0,27.0,27.0,29.0,28.0,28.0,30.0,30.0,26.0,29.0,28.0,27.0,28.0,30.0,28.0,28.0,31.0,29.0,30.0,25.0,26.0,27.0,30.0,27.0,29.0,27.0,25.0,26.0,30.0,26.0,31.0,29.0,27.0,28.0,25.0,26.0,27.0,27.0,25.0,26.0,28.0,27.0,27.0,30.0,30.0,28.0,27.0,25.0,27.0,29.0,27.0,27.0,28.0,27.0,27.0,29.0,26.0,28.0,29.0,26.0,29.0,25.0,27.0,27.0,30.0,29.0,27.0,29.0,27.0,27.0,26.0,27.0,31.0,28.0
78,30.0,29.0,29.0,29.0,25.0,28.0,27.0,27.0,27.0,27.0,31.0,29.0,27.0,26.0,26.0,28.0,26.0,28.0,29.0,30.0,29.0,25.0,28.0,26.0,30.0,26.0,26.0,27.0,27.0,29.0,28.0,28.0,30.0,30.0,26.0,29.0,29.0,27.0,29.0,30.0,29.0,28.0,32.0,29.0,31.0,25.0,27.0,27.0,30.0,27.0,29.0,27.0,26.0,27.0,30.0,27.0,31.0,29.0,28.0,28.0,25.0,27.0,27.0,28.0,26.0,27.0,29.0,28.0,28.0,31.0,31.0,28.0,27.0,25.0,27.0,30.0,28.0,27.0,28.0,27.0,27.0,29.0,27.0,28.0,30.0,26.0,30.0,25.0,28.0,28.0,30.0,29.0,27.0,29.0,27.0,27.0,27.0,27.0,31.0,28.0
79,30.0,29.0,30.0,29.0,25.0,28.0,27.0,27.0,27.0,28.0,32.0,29.0,27.0,26.0,27.0,28.0,26.0,28.0,29.0,31.0,29.0,25.0,29.0,27.0,31.0,26.0,27.0,28.0,27.0,30.0,28.0,29.0,30.0,31.0,27.0,29.0,29.0,27.0,29.0,31.0,29.0,28.0,32.0,29.0,31.0,26.0,27.0,27.0,30.0,27.0,29.0,27.0,26.0,27.0,31.0,28.0,31.0,30.0,28.0,28.0,26.0,28.0,27.0,28.0,26.0,27.0,29.0,28.0,28.0,31.0,31.0,29.0,27.0,25.0,28.0,30.0,28.0,27.0,29.0,28.0,27.0,29.0,27.0,28.0,30.0,27.0,30.0,26.0,28.0,28.0,31.0,29.0,28.0,29.0,28.0,27.0,27.0,27.0,32.0,28.0
80,31.0,29.0,30.0,29.0,26.0,28.0,27.0,28.0,28.0,28.0,33.0,30.0,27.0,26.0,27.0,29.0,26.0,28.0,29.0,31.0,30.0,26.0,29.0,28.0,31.0,27.0,27.0,28.0,27.0,30.0,28.0,29.0,31.0,31.0,27.0,29.0,30.0,27.0,29.0,31.0,29.0,28.0,32.0,30.0,32.0,26.0,27.0,27.0,30.0,27.0,30.0,27.0,27.0,28.0,32.0,28.0,31.0,31.0,28.0,29.0,26.0,28.0,28.0,29.0,27.0,27.0,29.0,28.0,28.0,32.0,31.0,29.0,27.0,25.0,28.0,31.0,29.0,28.0,29.0,29.0,28.0,30.0,28.0,29.0,30.0,27.0,30.0,26.0,28.0,28.0,31.0,30.0,28.0,29.0,28.0,28.0,27.0,27.0,32.0,28.0
81,31.0,29.0,31.0,29.0,26.0,28.0,27.0,29.0,28.0,29.0,33.0,30.0,27.0,27.0,28.0,30.0,26.0,28.0,30.0,31.0,30.0,26.0,29.0,28.0,31.0,27.0,27.0,28.0,27.0,30.0,28.0,30.0,31.0,32.0,28.0,30.0,30.0,28.0,30.0,31.0,29.0,29.0,32.0,30.0,32.0,26.0,28.0,27.0,31.0,28.0,31.0,28.0,27.0,28.0,32.0,28.0,32.0,31.0,29.0,29.0,27.0,28.0,28.0,29.0,27.0,27.0,29.0,28.0,29.0,33.0,32.0,30.0,28.0,26.0,28.0,31.0,29.0,29.0,29.0,29.0,28.0,30.0,28.0,29.0,31.0,28.0,30.0,26.0,28.0,28.0,31.0,30.0,29.0,29.0,29.0,29.0,27.0,28.0,32.0,29.0
82,32.0,30.0,31.0,30.0,26.0,29.0,28.0,29.0,28.0,29.0,33.0,30.0,28.0,27.0,28.0,30.0,27.0,28.0,30.0,32.0,30.0,26.0,29.0,28.0,32.0,27.0,28.0,28.0,28.0,30.0,29.0,30.0,31.0,33.0,28.0,30.0,31.0,29.0,30.0,31.0,29.0,29.0,32.0,30.0,32.0,26.0,28.0,28.0,31.0,28.0,31.0,28.0,27.0,28.0,32.0,28.0,32.0,31.0,29.0,29.0,27.0,28.0,29.0,29.0,27.0,27.0,29.0,29.0,30.0,33.0,32.0,30.0,28.0,26.0,28.0,31.0,29.0,29.0,29.0,29.0,29.0,30.0,28.0,29.0,31.0,29.0,30.0,27.0,29.0,28.0,32.0,30.0,29.0,30.0,29.0,29.0,28.0,28.0,32.0,29.0
83,32.0,30.0,31.0,30.0,26.0,29.0,28.0,29.0,29.0,30.0,34.0,31.0,28.0,27.0,28.0,31.0,27.0,29.0,30.0,32.0,30.0,27.0,30.0,29.0,32.0,27.0,29.0,28.0,28.0,31.0,29.0,30.0,31.0,33.0,29.0,30.0,31.0,29.0,30.0,32.0,30.0,29.0,32.0,31.0,32.0,26.0,28.0,28.0,31.0,29.0,31.0,29.0,28.0,29.0,32.0,28.0,32.0,31.0,30.0,30.0,27.0,29.0,29.0,30.0,27.0,28.0,30.0,29.0,30.0,33.0,32.0,30.0,28.0,27.0,29.0,31.0,30.0,29.0,30.0,30.0,29.0,31.0,28.0,29.0,32.0,29.0,31.0,27.0,29.0,28.0,32.0,30.0,29.0,30.0,29.0,29.0,28.0,28.0,33.0,29.0
84,32.0,30.0,31.0,31.0,26.0,29.0,29.0,29.0,30.0,30.0,34.0,31.0,28.0,27.0,28.0,31.0,28.0,29.0,31.0,32.0,31.0,27.0,30.0,29.0,33.0,27.0,29.0,29.0,29.0,31.0,29.0,31.0,32.0,33.0,29.0,30.0,31.0,29.0,31.0,32.0,30.0,29.0,33.0,31.0,33.0,27.0,28.0,29.0,32.0,29.0,31.0,29.0,28.0,29.0,33.0,29.0,33.0,31.0,30.0,31.0,28.0,29.0,30.0,30.0,28.0,29.0,30.0,29.0,30.0,33.0,32.0,31.0,29.0,28.0,29.0,32.0,30.0,30.0,30.0,30.0,29.0,31.0,29.0,30.0,32.0,29.0,31.0,28.0,30.0,29.0,32.0,30.0,30.0,31.0,29.0,29.0,29.0,28.0,33.0,29.0
85,33.0,31.0,32.0,31.0,27.0,30.0,29.0,29.0,30.0,30.0,34.0,31.0,29.0,28.0,29.0,31.0,28.0,29.0,31.0,33.0,31.0,28.0,30.0,29.0,33.0,28.0,29.0,30.0,29.0,32.0,30.0,31.0,32.0,34.0,30.0,31.0,32.0,29.0,31.0,32.0,31.0,30.0,33.0,32.0,34.0,27.0,29.0,29.0,32.0,30.0,32.0,29.0,29.0,29.0,33.0,29.0,33.0,31.0,30.0,31.0,29.0,29.0,30.0,30.0,28.0,29.0,30.0,29.0,30.0,33.0,33.0,32.0,29.0,28.0,30.0,32.0,31.0,30.0,31.0,30.0,30.0,32.0,29.0,30.0,32.0,30.0,32.0,28.0,30.0,29.0,33.0,31.0,30.0,31.0,29.0,30.0,29.0,28.0,33.0,30.0
86,33.0,31.0,32.0,32.0,27.0,31.0,29.0,30.0,30.0,30.0,35.0,31.0,29.0,28.0,29.0,32.0,29.0,30.0,31.0,33.0,32.0,28.0,31.0,30.0,33.0,28.0,29.0,30.0,30.0,32.0,30.0,31.0,32.0,35.0,30.0,31.0,32.0,29.0,31.0,33.0,31.0,30.0,33.0,32.0,34.0,28.0,29.0,30.0,33.0,30.0,33.0,29.0,29.0,30.0,33.0,29.0,33.0,32.0,30.0,31.0,29.0,29.0,31.0,30.0,28.0,29.0,31.0,30.0,30.0,34.0,33.0,32.0,29.0,28.0,30.0,32.0,31.0,30.0,31.0,30.0,30.0,32.0,30.0,31.0,32.0,30.0,32.0,29.0,31.0,30.0,34.0,31.0,30.0,31.0,30.0,30.0,29.0,28.0,33.0,30.0
87,33.0,31.0,32.0,32.0,28.0,31.0,29.0,30.0,30.0,31.0,35.0,32.0,29.0,28.0,29.0,32.0,29.0,30.0,32.0,34.0,32.0,28.0,31.0,30.0,33.0,28.0,30.0,31.0,30.0,33.0,30.0,32.0,33.0,35.0,30.0,31.0,32.0,30.0,31.0,33.0,32.0,31.0,33.0,33.0,34.0,28.0,30.0,30.0,33.0,30.0,33.0,30.0,29.0,30.0,33.0,30.0,34.0,32.0,30.0,31.0,29.0,29.0,31.0,31.0,29.0,29.0,31.0,30.0,30.0,34.0,34.0,32.0,30.0,28.0,30.0,32.0,31.0,30.0,32.0,30.0,30.0,32.0,30.0,31.0,32.0,30.0,32.0,29.0,31.0,30.0,35.0,31.0,30.0,32.0,31.0,30.0,29.0,29.0,34.0,31.0
88,33.0,31.0,33.0,33.0,29.0,31.0,30.0,31.0,30.0,31.0,35.0,32.0,30.0,29.0,30.0,32.0,29.0,30.0,32.0,34.0,32.0,28.0,31.0,31.0,33.0,28.0,30.0,31.0,30.0,34.0,31.0,33.0,33.0,35.0,31.0,31.0,32.0,30.0,32.0,33.0,32.0,31.0,34.0,33.0,34.0,28.0,30.0,31.0,33.0,31.0,33.0,30.0,30.0,30.0,34.0,30.0,35.0,33.0,31.0,31.0,30.0,30.0,31.0,31.0,29.0,29.0,32.0,30.0,30.0,34.0,34.0,33.0,30.0,29.0,31.0,33.0,32.0,31.0,32.0,31.0,31.0,32.0,30.0,31.0,32.0,31.0,33.0,29.0,32.0,30.0,35.0,31.0,30.0,32.0,31.0,30.0,29.0,29.0,34.0,31.0
89,34.0,32.0,34.0,33.0,29.0,31.0,30.0,31.0,30.0,31.0,36.0,32.0,30.0,29.0,31.0,33.0,30.0,30.0,33.0,35.0,32.0,28.0,32.0,31.0,34.0,29.0,30.0,31.0,31.0,34.0,31.0,34.0,33.0,35.0,31.0,32.0,33.0,31.0,32.0,33.0,32.0,31.0,34.0,33.0,35.0,29.0,30.0,31.0,33.0,31.0,34.0,30.0,30.0,31.0,35.0,30.0,35.0,33.0,31.0,31.0,30.0,31.0,31.0,31.0,29.0,29.0,32.0,31.0,31.0,35.0,35.0,33.0,31.0,29.0,31.0,33.0,32.0,31.0,32.0,32.0,31.0,33.0,30.0,31.0,33.0,31.0,33.0,30.0,32.0,31.0,35.0,32.0,31.0,32.0,32.0,31.0,29.0,29.0,35.0,31.0
90,34.0,33.0,34.0,33.0,29.0,31.0,31.0,31.0,31.0,31.0,36.0,33.0,31.0,29.0,31.0,33.0,30.0,30.0,33.0,35.0,33.0,29.0,32.0,31.0,34.0,29.0,31.0,31.0,31.0,34.0,32.0,34.0,33.0,35.0,31.0,32.0,33.0,31.0,32.0,34.0,32.0,32.0,34.0,34.0,36.0,29.0,30.0,31.0,33.0,32.0,34.0,30.0,31.0,31.0,35.0,31.0,35.0,33.0,31.0,32.0,30.0,31.0,32.0,32.0,30.0,30.0,32.0,31.0,31.0,35.0,35.0,33.0,31.0,29.0,32.0,33.0,32.0,32.0,32.0,32.0,32.0,33.0,30.0,32.0,33.0,32.0,33.0,30.0,32.0,31.0,36.0,32.0,31.0,33.0,33.0,31.0,30.0,30.0,35.0,31.0
91,34.0,33.0,34.0,33.0,30.0,31.0,31.0,31.0,31.0,32.0,36.0,33.0,31.0,30.0,31.0,33.0,31.0,31.0,33.0,35.0,34.0,29.0,32.0,31.0,34.0,29.0,31.0,31.0,31.0,35.0,32.0,34.0,34.0,36.0,31.0,32.0,34.0,31.0,32.0,34.0,32.0,32.0,35.0,34.0,36.0,29.0,31.0,31.0,34.0,32.0,34.0,31.0,31.0,32.0,35.0,31.0,35.0,34.0,32.0,32.0,30.0,31.0,32.0,32.0,30.0,30.0,32.0,32.0,31.0,35.0,35.0,34.0,32.0,30.0,32.0,34.0,33.0,32.0,33.0,33.0,33.0,33.0,30.0,32.0,34.0,32.0,33.0,30.0,32.0,31.0,36.0,32.0,31.0,33.0,33.0,31.0,31.0,31.0,35.0,32.0
92,35.0,33.0,35.0,33.0,30.0,31.0,31.0,32.0,32.0,32.0,36.0,33.0,31.0,30.0,32.0,34.0,31.0,31.0,33.0,35.0,34.0,29.0,33.0,31.0,34.0,30.0,31.0,32.0,32.0,35.0,32.0,34.0,34.0,36.0,31.0,33.0,34.0,32.0,33.0,34.0,33.0,32.0,35.0,34.0,36.0,30.0,31.0,32.0,35.0,33.0,35.0,31.0,31.0,32.0,36.0,31.0,36.0,34.0,33.0,32.0,31.0,32.0,33.0,32.0,31.0,30.0,33.0,32.0,31.0,35.0,35.0,35.0,32.0,30.0,33.0,34.0,33.0,32.0,33.0,33.0,33.0,34.0,31.0,32.0,34.0,32.0,33.0,31.0,32.0,31.0,36.0,33.0,32.0,34.0,34.0,31.0,31.0,31.0,36.0,32.0
93,35.0,34.0,35.0,34.0,30.0,32.0,31.0,32.0,32.0,33.0,37.0,33.0,32.0,31.0,32.0,34.0,32.0,31.0,34.0,36.0,35.0,30.0,34.0,31.0,35.0,30.0,32.0,32.0,32.0,36.0,32.0,34.0,34.0,37.0,31.0,33.0,34.0,32.0,33.0,35.0,33.0,33.0,36.0,34.0,36.0,31.0,31.0,32.0,35.0,33.0,35.0,31.0,32.0,32.0,36.0,32.0,36.0,34.0,33.0,33.0,31.0,32.0,33.0,33.0,31.0,31.0,33.0,32.0,32.0,35.0,35.0,35.0,32.0,30.0,33.0,34.0,34.0,32.0,33.0,33.0,34.0,34.0,31.0,33.0,34.0,33.0,34.0,31.0,32.0,32.0,37.0,33.0,32.0,34.0,34.0,32.0,31.0,31.0,36.0,33.0
94,35.0,34.0,36.0,34.0,31.0,32.0,32.0,32.0,32.0,33.0,37.0,34.0,32.0,32.0,32.0,34.0,32.0,31.0,34.0,36.0,36.0,31.0,35.0,32.0,35.0,30.0,32.0,33.0,33.0,36.0,33.0,34.0,34.0,37.0,32.0,34.0,34.0,32.0,33.0,36.0,33.0,33.0,37.0,35.0,37.0,31.0,32.0,32.0,36.0,33.0,35.0,32.0,33.0,32.0,36.0,32.0,36.0,35.0,33.0,33.0,31.0,32.0,34.0,34.0,32.0,31.0,34.0,32.0,33.0,36.0,36.0,36.0,32.0,31.0,33.0,34.0,34.0,33.0,34.0,33.0,34.0,35.0,32.0,33.0,34.0,33.0,35.0,31.0,33.0,32.0,37.0,34.0,33.0,35.0,34.0,32.0,31.0,32.0,37.0,33.0
95,35.0,34.0,36.0,34.0,31.0,32.0,33.0,32.0,33.0,34.0,38.0,34.0,32.0,32.0,32.0,34.0,32.0,31.0,34.0,36.0,36.0,31.0,35.0,33.0,36.0,30.0,33.0,33.0,33.0,37.0,33.0,35.0,35.0,37.0,32.0,34.0,35.0,33.0,34.0,36.0,33.0,33.0,37.0,36.0,37.0,31.0,32.0,33.0,36.0,34.0,36.0,33.0,33.0,33.0,37.0,33.0,36.0,35.0,33.0,33.0,31.0,33.0,34.0,34.0,32.0,31.0,34.0,33.0,33.0,36.0,36.0,36.0,33.0,31.0,33.0,35.0,34.0,33.0,34.0,34.0,34.0,35.0,32.0,34.0,35.0,33.0,35.0,32.0,34.0,33.0,37.0,34.0,33.0,36.0,35.0,32.0,31.0,32.0,37.0,33.0
96,36.0,34.0,36.0,35.0,31.0,32.0,33.0,33.0,33.0,34.0,38.0,34.0,32.0,32.0,33.0,35.0,33.0,32.0,34.0,36.0,36.0,32.0,35.0,33.0,36.0,31.0,33.0,34.0,33.0,37.0,33.0,35.0,35.0,38.0,32.0,35.0,35.0,33.0,34.0,36.0,34.0,33.0,37.0,36.0,37.0,32.0,32.0,33.0,37.0,35.0,36.0,33.0,33.0,33.0,37.0,34.0,37.0,35.0,33.0,34.0,32.0,33.0,34.0,34.0,32.0,31.0,34.0,33.0,33.0,36.0,36.0,36.0,33.0,32.0,34.0,35.0,34.0,34.0,35.0,34.0,34.0,36.0,33.0,34.0,35.0,33.0,35.0,33.0,34.0,33.0,37.0,34.0,33.0,36.0,35.0,33.0,32.0,32.0,37.0,33.0
97,36.0,35.0,36.0,35.0,31.0,33.0,33.0,34.0,33.0,34.0,38.0,35.0,32.0,32.0,33.0,35.0,33.0,33.0,35.0,37.0,36.0,32.0,35.0,33.0,36.0,31.0,33.0,35.0,34.0,38.0,34.0,36.0,35.0,38.0,32.0,35.0,36.0,34.0,34.0,36.0,34.0,34.0,38.0,36.0,38.0,32.0,32.0,33.0,38.0,35.0,37.0,33.0,34.0,34.0,38.0,34.0,37.0,36.0,34.0,34.0,32.0,33.0,34.0,34.0,33.0,31.0,34.0,33.0,33.0,36.0,37.0,37.0,34.0,32.0,34.0,36.0,34.0,34.0,35.0,34.0,34.0,36.0,34.0,34.0,35.0,34.0,36.0,33.0,35.0,33.0,37.0,34.0,33.0,36.0,35.0,33.0,32.0,32.0,37.0,33.0
