,Trial0,Trial1,Trial10,Trial11,Trial12,Trial13,Trial14,Trial15,Trial16,Trial17,Trial18,Trial19,Trial2,Trial20,Trial21,Trial22,Trial23,Trial24,Trial25,Trial26,Trial27,Trial28,Trial29,Trial3,Trial30,Trial31,Trial32,Trial33,Trial34,Trial35,Trial36,Trial37,Trial38,Trial39,Trial4,Trial40,Trial41,Trial42,Trial43,Trial44,Trial45,Trial46,Trial47,Trial48,Trial49,Trial5,Trial50,Trial51,Trial52,Trial53,Trial54,Trial55,Trial56,Trial57,Trial58,Trial59,Trial6,Trial60,Trial61,Trial62,Trial63,Trial64,Trial65,Trial66,Trial67,Trial68,Trial69,Trial7,Trial70,Trial71,Trial72,Trial73,Trial74,Trial75,Trial76,Trial77,Trial78,Trial79,Trial8,Trial80,Trial81,Trial82,Trial83,Trial84,Trial85,Trial86,Trial87,Trial88,Trial89,Trial9,Trial90,Trial91,Trial92,Trial93,Trial94,Trial95,Trial96,Trial97,Trial98,Trial99
65,27.0,22.0,26.0,25.0,23.0,25.0,29.0,26.0,23.0,26.0,23.0,23.0,25.0,24.0,26.0,22.0,25.0,24.0,23.0,24.0,24.0,25.0,21.0,24.0,25.0,24.0,28.0,23.0,25.0,24.0,25.0,25.0,26.0,22.0,26.0,23.0,24.0,22.0,24.0,25.0,23.0,23.0,22.0,24.0,25.0,22.0,24.0,24.0,25.0,27.0,26.0,25.0,23.0,25.0,25.0,24.0,26.0,25.0,23.0,25.0,24.0,24.0,25.0,23.0,23.0,23.0,24.0,25.0,22.0,24.0,25.0,23.0,24.0,26.0,23.0,24.0,27.0,23.0,23.0,23.0,24.0,25.0,28.0,26.0,25.0,26.0,22.0,24.0,25.0,23.0,24.0,27.0,24.0,25.0,23.0,26.0,26.0,26.0,24.0,22.0
66,27.0,22.0,26.0,25.0,24.0,25.0,30.0,27.0,24.0,26.0,23.0,24.0,26.0,25.0,26.0,22.0,25.0,25.0,23.0,25.0,25.0,25.0,22.0,24.0,25.0,24.0,28.0,24.0,25.0,25.0,25.0,25.0,26.0,23.0,26.0,24.0,25.0,22.0,25.0,26.0,23.0,24.0,23.0,25.0,25.0,22.0,25.0,25.0,25.0,28.0,26.0,26.0,23.0,26.0,25.0,24.0,26.0,25.0,23.0,25.0,25.0,25.0,25.0,24.0,23.0,24.0,25.0,26.0,23.0,24.0,26.0,23.0,25.0,27.0,24.0,25.0,27.0,23.0,24.0,23.0,25.0,25.0,28.0,26.0,25.0,26.0,22.0,24.0,26.0,24.0,25.0,28.0,24.0,25.0,23.0,26.0,26.0,26.0,24.0,23.0
67,28.0,23.0,27.0,26.0,24.0,25.0,30.0,27.0,24.0,27.0,23.0,24.0,27.0,25.0,27.0,22.0,26.0,25.0,24.0,25.0,25.0,25.0,22.0,25.0,26.0,25.0,28.0,24.0,26.0,26.0,26.0,25.0,26.0,23.0,27.0,24.0,25.0,23.0,25.0,26.0,24.0,24.0,23.0,25.0,25.0,23.0,25.0,25.0,26.0,28.0,27.0,26.0,23.0,26.0,25.0,24.0,27.0,25.0,24.0,25.0,25.0,25.0,26.0,25.0,23.0,24.0,25.0,26.0,23.0,25.0,26.0,24.0,26.0,28.0,24.0,25.0,28.0,23.0,24.0,24.0,26.0,25.0,29.0,27.0,26.0,26.0,23.0,24.0,26.0,24.0,25.0,28.0,24.0,25.0,23.0,26.0,26.0,27.0,24.0,24.0
68,28.0,23.0,27.0,26.0,24.0,26.0,30.0,28.0,25.0,27.0,23.0,24.0,27.0,26.0,27.0,22.0,26.0,25.0,24.0,25.0,26.0,26.0,22.0,26.0,26.0,25.0,28.0,24.0,26.0,26.0,26.0,26.0,27.0,23.0,27.0,25.0,26.0,23.0,25.0,26.0,24.0,24.0,23.0,25.0,25.0,24.0,26.0,25.0,26.0,29.0,27.0,26.0,24.0,26.0,26.0,25.0,27.0,26.0,24.0,26.0,26.0,25.0,26.0,25.0,24.0,24.0,26.0,27.0,23.0,25.0,27.0,24.0,26.0,28.0,25.0,25.0,28.0,23.0,25.0,25.0,26.0,25.0,29.0,27.0,26.0,27.0,23.0,25.0,26.0,24.0,26.0,28.0,25.0,25.0,23.0,27.0,26.0,27.0,25.0,24.0
69,29.0,23.0,27.0,26.0,25.0,26.0,30.0,29.0,25.0,28.0,24.0,25.0,28.0,27.0,28.0,23.0,26.0,26.0,25.0,25.0,26.0,26.0,23.0,26.0,26.0,25.0,29.0,25.0,27.0,26.0,27.0,26.0,27.0,23.0,28.0,25.0,26.0,24.0,26.0,27.0,25.0,25.0,24.0,25.0,26.0,24.0,26.0,25.0,26.0,30.0,27.0,27.0,24.0,26.0,26.0,26.0,28.0,26.0,24.0,26.0,26.0,26.0,26.0,25.0,25.0,25.0,26.0,27.0,24.0,26.0,27.0,24.0,26.0,28.0,25.0,25.0,29.0,24.0,25.0,25.0,26.0,25.0,30.0,27.0,27.0,27.0,23.0,26.0,27.0,24.0,27.0,29.0,25.0,25.0,23.0,27.0,27.0,27.0,26.0,24.0
70,29.0,24.0,28.0,26.0,25.0,27.0,31.0,29.0,25.0,29.0,24.0,26.0,28.0,27.0,28.0,23.0,27.0,26.0,25.0,26.0,26.0,27.0,23.0,26.0,26.0,26.0,29.0,25.0,27.0,26.0,27.0,26.0,27.0,24.0,28.0,26.0,26.0,24.0,26.0,27.0,25.0,25.0,24.0,26.0,26.0,25.0,26.0,26.0,27.0,30.0,28.0,27.0,24.0,27.0,27.0,26.0,28.0,26.0,24.0,26.0,26.0,26.0,26.0,26.0,25.0,25.0,27.0,27.0,24.0,26.0,28.0,25.0,27.0,29.0,26.0,25.0,29.0,24.0,25.0,26.0,26.0,26.0,30.0,28.0,27.0,28.0,24.0,26.0,28.0,24.0,27.0,29.0,26.0,26.0,24.0,27.0,27.0,28.0,27.0,24.0
71,30.0,25.0,28.0,26.0,25.0,27.0,31.0,30.0,25.0,29.0,25.0,26.0,29.0,27.0,28.0,23.0,27.0,26.0,25.0,26.0,27.0,27.0,23.0,27.0,27.0,26.0,29.0,26.0,27.0,26.0,28.0,26.0,27.0,24.0,29.0,27.0,26.0,24.0,26.0,28.0,25.0,26.0,25.0,26.0,26.0,25.0,27.0,26.0,27.0,30.0,28.0,27.0,25.0,27.0,27.0,26.0,29.0,27.0,25.0,27.0,27.0,27.0,27.0,26.0,25.0,26.0,28.0,27.0,24.0,26.0,28.0,25.0,28.0,29.0,26.0,26.0,29.0,25.0,25.0,26.0,26.0,26.0,30.0,28.0,27.0,28.0,25.0,27.0,28.0,25.0,27.0,29.0,26.0,26.0,24.0,27.0,27.0,28.0,27.0,24.0
72,30.0,25.0,29.0,27.0,26.0,27.0,32.0,30.0,26.0,29.0,25.0,26.0,29.0,27.0,29.0,24.0,28.0,27.0,26.0,27.0,27.0,28.0,24.0,27.0,27.0,26.0,30.0,26.0,28.0,26.0,28.0,27.0,28.0,25.0,29.0,27.0,26.0,25.0,26.0,28.0,26.0,26.0,25.0,26.0,27.0,25.0,27.0,27.0,27.0,31.0,29.0,27.0,25.0,28.0,27.0,27.0,29.0,27.0,26.0,27.0,27.0,27.0,27.0,27.0,26.0,27.0,28.0,28.0,24.0,26.0,28.0,26.0,28.0,29.0,26.0,26.0,29.0,25.0,26.0,27.0,27.0,27.0,31.0,28.0,27.0,28.0,25.0,27.0,29.0,25.0,28.0,29.0,27.0,27.0,24.0,27.0,28.0,28.0,28.0,25.0
73,31.0,25.0,30.0,27.0,26.0,28.0,32.0,30.0,26.0,29.0,25.0,26.0,29.0,27.0,30.0,24.0,28.0,27.0,26.0,27.0,27.0,28.0,24.0,27.0,28.0,26.0,30.0,26.0,28.0,27.0,28.0,27.0,28.0,25.0,30.0,27.0,27.0,26.0,27.0,29.0,27.0,26.0,25.0,27.0,27.0,25.0,28.0,27.0,28.0,31.0,29.0,28.0,25.0,28.0,28.0,27.0,29.0,28.0,27.0,28.0,27.0,27.0,28.0,28.0,26.0,27.0,28.0,29.0,25.0,27.0,28.0,26.0,28.0,29.0,26.0,26.0,30.0,25.0,26.0,27.0,27.0,27.0,31.0,29.0,27.0,29.0,25.0,27.0,30.0,26.0,28.0,30.0,27.0,28.0,25.0,27.0,28.0,28.0,29.0,25.0
74,31.0,26.0,30.0,28.0,26.0,28.0,32.0,30.0,26.0,30.0,25.0,27.0,30.0,27.0,30.0,24.0,28.0,27.0,27.0,27.0,28.0,28.0,24.0,28.0,28.0,26.0,31.0,27.0,28.0,27.0,29.0,27.0,28.0,25.0,30.0,28.0,27.0,26.0,27.0,29.0,27.0,27.0,25.0,27.0,27.0,25.0,28.0,27.0,28.0,31.0,29.0,28.0,26.0,28.0,29.0,28.0,30.0,28.0,27.0,28.0,27.0,27.0,28.0,28.0,27.0,28.0,28.0,29.0,25.0,27.0,29.0,26.0,29.0,30.0,26.0,26.0,31.0,26.0,26.0,28.0,28.0,28.0,31.0,29.0,27.0,29.0,25.0,28.0,30.0,26.0,29.0,31.0,27.0,28.0,25.0,28.0,28.0,28.0,29.0,25.0
75,32.0,26.0,30.0,28.0,27.0,29.0,32.0,31.0,27.0,30.0,26.0,28.0,30.0,28.0,30.0,25.0,29.0,27.0,27.0,27.0,28.0,28.0,24.0,28.0,29.0,27.0,31.0,28.0,28.0,27.0,30.0,28.0,29.0,26.0,31.0,28.0,27.0,26.0,28.0,30.0,27.0,28.0,26.0,28.0,27.0,26.0,28.0,27.0,28.0,32.0,29.0,29.0,26.0,29.0,29.0,28.0,30.0,28.0,28.0,29.0,28.0,28.0,29.0,28.0,27.0,28.0,28.0,29.0,26.0,27.0,29.0,27.0,29.0,30.0,27.0,27.0,31.0,26.0,27.0,29.0,29.0,29.0,32.0,30.0,27.0,29.0,26.0,28.0,30.0,26.0,29.0,31.0,28.0,29.0,25.0,28.0,28.0,29.0,29.0,25.0
76,32.0,27.0,30.0,28.0,27.0,29.0,33.0,31.0,27.0,30.0,26.0,28.0,31.0,28.0,30.0,25.0,29.0,28.0,28.0,28.0,28.0,29.0,25.0,29.0,29.0,27.0,31.0,28.0,29.0,28.0,30.0,28.0,30.0,27.0,31.0,28.0,28.0,26.0,28.0,31.0,28.0,28.0,26.0,28.0,28.0,26.0,28.0,28.0,28.0,32.0,30.0,29.0,27.0,29.0,29.0,28.0,31.0,28.0,28.0,29.0,29.0,28.0,29.0,29.0,27.0,28.0,29.0,29.0,27.0,28.0,30.0,28.0,30.0,31.0,27.0,27.0,31.0,26.0,27.0,29.0,29.0,29.0,32.0,31.0,28.0,29.0,26.0,28.0,30.0,26.0,29.0,31.0,28.0,29.0,25.0,28.0,29.0,29.0,30.0,26.0
77,33.0,27.0,30.0,28.0,27.0,30.0,33.0,31.0,28.0,31.0,27.0,28.0,31.0,28.0,31.0,26.0,30.0,28.0,28.0,28.0,28.0,29.0,25.0,29.0,29.0,28.0,31.0,29.0,29.0,28.0,30.0,29.0,30.0,27.0,31.0,29.0,28.0,27.0,28.0,31.0,28.0,28.0,26.0,29.0,28.0,26.0,29.0,28.0,29.0,33.0,30.0,29.0,27.0,30.0,29.0,28.0,31.0,29.0,28.0,29.0,29.0,28.0,30.0,29.0,28.0,28.0,29.0,30.0,27.0,28.0,30.0,28.0,30.0,32.0,28.0,27.0,31.0,26.0,27.0,29.0,29.0,29.0,32.0,31.0,28.0,30.0,27.0,28.0,30.0,26.0,30.0,32.0,28.0,29.0,26.0,28.0,29.0,30.0,30.0,26.0
78,33.0,27.0,31.0,29.0,27.0,31.0,34.0,32.0,28.0,31.0,27.0,28.0,31.0,29.0,31.0,26.0,31.0,29.0,28.0,28.0,28.0,30.0,26.0,30.0,29.0,29.0,32.0,29.0,30.0,29.0,30.0,29.0,30.0,27.0,32.0,30.0,28.0,27.0,29.0,31.0,28.0,28.0,27.0,29.0,28.0,27.0,29.0,29.0,29.0,33.0,31.0,30.0,27.0,30.0,30.0,29.0,32.0,29.0,28.0,30.0,30.0,29.0,30.0,30.0,28.0,29.0,29.0,30.0,28.0,28.0,30.0,28.0,30.0,32.0,28.0,28.0,31.0,26.0,28.0,29.0,29.0,30.0,32.0,31.0,29.0,30.0,28.0,29.0,30.0,27.0,30.0,32.0,28.0,29.0,26.0,29.0,29.0,30.0,31.0,26.0
79,33.0,28.0,31.0,29.0,27.0,31.0,34.0,32.0,28.0,31.0,27.0,29.0,32.0,29.0,32.0,26.0,31.0,29.0,29.0,29.0,29.0,31.0,26.0,30.0,30.0,30.0,33.0,29.0,30.0,29.0,31.0,29.0,30.0,28.0,32.0,31.0,29.0,28.0,29.0,31.0,29.0,29.0,28.0,30.0,28.0,28.0,30.0,30.0,30.0,33.0,31.0,30.0,28.0,31.0,30.0,29.0,32.0,29.0,29.0,31.0,30.0,29.0,30.0,30.0,28.0,30.0,29.0,30.0,28.0,28.0,31.0,29.0,30.0,32.0,28.0,28.0,32.0,26.0,28.0,29.0,30.0,31.0,32.0,32.0,29.0,31.0,28.0,29.0,31.0,27.0,30.0,33.0,29.0,29.0,26.0,29.0,30.0,30.0,31.0,26.0
80,34.0,28.0,31.0,30.0,28.0,31.0,34.0,32.0,29.0,31.0,27.0,29.0,32.0,29.0,32.0,26.0,31.0,29.0,29.0,29.0,29.0,31.0,26.0,30.0,31.0,30.0,33.0,30.0,30.0,29.0,31.0,29.0,30.0,28.0,32.0,31.0,29.0,28.0,29.0,32.0,29.0,29.0,28.0,30.0,29.0,28.0,30.0,30.0,30.0,33.0,31.0,31.0,28.0,31.0,30.0,29.0,32.0,29.0,29.0,31.0,31.0,29.0,31.0,30.0,29.0,30.0,30.0,31.0,28.0,29.0,31.0,29.0,31.0,32.0,29.0,28.0,32.0,27.0,29.0,30.0,30.0,31.0,33.0,32.0,30.0,32.0,28.0,29.0,31.0,27.0,31.0,33.0,29.0,30.0,26.0,29.0,30.0,31.0,32.0,27.0
81,34.0,28.0,32.0,30.0,28.0,31.0,35.0,33.0,29.0,32.0,27.0,29.0,32.0,29.0,33.0,27.0,31.0,29.0,30.0,29.0,30.0,31.0,27.0,31.0,31.0,30.0,33.0,30.0,30.0,29.0,31.0,30.0,31.0,28.0,32.0,31.0,29.0,28.0,30.0,32.0,29.0,30.0,28.0,30.0,29.0,28.0,30.0,30.0,31.0,34.0,32.0,31.0,29.0,31.0,31.0,29.0,32.0,30.0,29.0,31.0,31.0,30.0,31.0,30.0,29.0,30.0,30.0,31.0,29.0,29.0,32.0,30.0,31.0,32.0,29.0,29.0,33.0,28.0,29.0,31.0,31.0,31.0,33.0,33.0,30.0,32.0,29.0,29.0,32.0,27.0,31.0,33.0,29.0,30.0,27.0,30.0,31.0,32.0,32.0,27.0
82,34.0,29.0,33.0,30.0,28.0,31.0,35.0,33.0,29.0,32.0,28.0,30.0,32.0,30.0,33.0,27.0,32.0,30.0,30.0,30.0,30.0,32.0,27.0,31.0,31.0,30.0,34.0,30.0,31.0,30.0,31.0,30.0,31.0,29.0,33.0,32.0,30.0,28.0,30.0,32.0,30.0,31.0,28.0,30.0,30.0,28.0,31.0,31.0,31.0,34.0,32.0,32.0,29.0,31.0,31.0,30.0,33.0,30.0,30.0,31.0,31.0,31.0,32.0,30.0,29.0,30.0,30.0,32.0,29.0,29.0,32.0,30.0,32.0,33.0,30.0,29.0,33.0,28.0,30.0,31.0,31.0,31.0,33.0,33.0,30.0,32.0,29.0,29.0,32.0,28.0,31.0,34.0,29.0,30.0,27.0,30.0,31.0,32.0,32.0,27.0
83,35.0,29.0,33.0,30.0,29.0,31.0,36.0,33.0,29.0,33.0,28.0,30.0,33.0,30.0,33.0,28.0,32.0,30.0,31.0,30.0,31.0,32.0,28.0,31.0,31.0,31.0,34.0,30.0,32.0,30.0,31.0,31.0,32.0,29.0,33.0,33.0,30.0,29.0,30.0,33.0,30.0,31.0,29.0,31.0,30.0,29.0,31.0,32.0,31.0,34.0,32.0,32.0,29.0,32.0,31.0,30.0,33.0,31.0,30.0,32.0,32.0,31.0,32.0,30.0,30.0,31.0,31.0,33.0,29.0,30.0,32.0,30.0,32.0,34.0,30.0,29.0,34.0,28.0,30.0,31.0,32.0,32.0,33.0,34.0,31.0,33.0,29.0,30.0,33.0,28.0,32.0,34.0,30.0,31.0,27.0,31.0,32.0,32.0,33.0,28.0
84,36.0,30.0,33.0,31.0,29.0,32.0,36.0,34.0,30.0,33.0,29.0,31.0,33.0,30.0,33.0,28.0,32.0,30.0,31.0,31.0,32.0,32.0,28.0,32.0,32.0,31.0,35.0,30.0,32.0,30.0,32.0,31.0,32.0,29.0,34.0,33.0,30.0,30.0,30.0,33.0,31.0,31.0,29.0,31.0,30.0,29.0,31.0,32.0,32.0,34.0,33.0,32.0,30.0,33.0,32.0,30.0,33.0,31.0,30.0,32.0,32.0,31.0,32.0,30.0,30.0,32.0,31.0,33.0,30.0,30.0,32.0,30.0,32.0,35.0,30.0,30.0,35.0,29.0,30.0,31.0,32.0,33.0,34.0,34.0,32.0,33.0,29.0,31.0,33.0,28.0,33.0,34.0,30.0,31.0,28.0,31.0,32.0,32.0,33.0,28.0
85,36.0,30.0,34.0,31.0,29.0,33.0,36.0,34.0,30.0,34.0,29.0,31.0,33.0,31.0,34.0,28.0,32.0,31.0,32.0,31.0,32.0,33.0,28.0,32.0,32.0,31.0,35.0,31.0,32.0,30.0,32.0,32.0,32.0,29.0,34.0,33.0,31.0,30.0,30.0,33.0,32.0,31.0,29.0,31.0,30.0,30.0,32.0,32.0,32.0,35.0,33.0,33.0,30.0,33.0,32.0,31.0,33.0,32.0,31.0,33.0,33.0,31.0,32.0,31.0,31.0,32.0,31.0,33.0,31.0,30.0,32.0,30.0,33.0,35.0,30.0,30.0,35.0,29.0,31.0,32.0,32.0,33.0,35.0,34.0,32.0,34.0,29.0,31.0,34.0,29.0,33.0,35.0,30.0,32.0,28.0,32.0,32.0,33.0,33.0,28.0
86,36.0,31.0,35.0,31.0,30.0,33.0,37.0,34.0,30.0,35.0,29.0,32.0,34.0,31.0,35.0,28.0,33.0,31.0,32.0,32.0,32.0,33.0,28.0,32.0,32.0,31.0,35.0,31.0,32.0,31.0,32.0,32.0,32.0,30.0,34.0,33.0,31.0,30.0,31.0,34.0,32.0,32.0,29.0,31.0,30.0,31.0,32.0,32.0,32.0,35.0,34.0,33.0,31.0,33.0,32.0,32.0,33.0,32.0,31.0,33.0,34.0,31.0,33.0,31.0,31.0,32.0,32.0,33.0,31.0,31.0,33.0,31.0,33.0,35.0,31.0,30.0,35.0,29.0,31.0,32.0,32.0,33.0,35.0,35.0,32.0,34.0,30.0,32.0,34.0,29.0,33.0,35.0,30.0,32.0,28.0,33.0,33.0,33.0,34.0,29.0
87,36.0,32.0,35.0,32.0,30.0,33.0,37.0,35.0,31.0,35.0,30.0,33.0,35.0,31.0,35.0,29.0,33.0,32.0,32.0,32.0,33.0,33.0,29.0,33.0,33.0,32.0,35.0,31.0,33.0,32.0,33.0,32.0,32.0,30.0,35.0,33.0,32.0,30.0,31.0,34.0,32.0,32.0,30.0,32.0,31.0,31.0,32.0,33.0,33.0,36.0,34.0,33.0,31.0,33.0,32.0,32.0,34.0,33.0,31.0,33.0,34.0,31.0,33.0,31.0,31.0,32.0,32.0,33.0,31.0,31.0,33.0,31.0,33.0,35.0,31.0,30.0,36.0,30.0,31.0,33.0,33.0,34.0,36.0,35.0,33.0,35.0,30.0,32.0,34.0,30.0,33.0,35.0,30.0,33.0,28.0,33.0,33.0,33.0,35.0,29.0
88,37.0,32.0,35.0,32.0,30.0,33.0,38.0,35.0,31.0,35.0,30.0,33.0,35.0,32.0,35.0,30.0,33.0,32.0,32.0,33.0,33.0,34.0,29.0,33.0,34.0,33.0,36.0,32.0,33.0,32.0,34.0,32.0,33.0,30.0,35.0,33.0,32.0,31.0,32.0,34.0,32.0,33.0,30.0,33.0,31.0,31.0,33.0,33.0,33.0,36.0,34.0,33.0,31.0,34.0,33.0,32.0,34.0,33.0,31.0,34.0,34.0,32.0,33.0,32.0,32.0,33.0,33.0,33.0,31.0,31.0,33.0,31.0,33.0,36.0,32.0,30.0,36.0,30.0,32.0,34.0,33.0,34.0,36.0,36.0,33.0,35.0,30.0,32.0,34.0,30.0,34.0,36.0,31.0,33.0,29.0,33.0,33.0,34.0,35.0,29.0
89,37.0,32.0,35.0,32.0,30.0,34.0,38.0,35.0,31.0,35.0,30.0,34.0,35.0,32.0,36.0,30.0,34.0,32.0,33.0,33.0,33.0,34.0,30.0,33.0,34.0,33.0,36.0,32.0,34.0,32.0,34.0,32.0,33.0,31.0,36.0,34.0,33.0,31.0,32.0,35.0,32.0,34.0,30.0,33.0,31.0,31.0,34.0,33.0,33.0,36.0,35.0,33.0,31.0,34.0,33.0,32.0,34.0,34.0,32.0,34.0,35.0,33.0,34.0,32.0,32.0,34.0,33.0,34.0,32.0,32.0,34.0,32.0,34.0,36.0,33.0,31.0,36.0,31.0,32.0,34.0,33.0,34.0,36.0,36.0,34.0,35.0,31.0,32.0,35.0,31.0,34.0,36.0,31.0,34.0,30.0,33.0,33.0,34.0,35.0,29.0
90,37.0,33.0,36.0,33.0,31.0,34.0,38.0,36.0,31.0,36.0,31.0,34.0,36.0,32.0,36.0,30.0,34.0,32.0,33.0,33.0,34.0,34.0,30.0,34.0,34.0,34.0,36.0,32.0,35.0,33.0,34.0,33.0,33.0,31.0,36.0,34.0,33.0,31.0,32.0,35.0,33.0,34.0,31.0,33.0,32.0,31.0,34.0,34.0,34.0,37.0,36.0,34.0,32.0,34.0,34.0,33.0,35.0,34.0,32.0,34.0,35.0,33.0,34.0,32.0,32.0,35.0,33.0,34.0,32.0,32.0,34.0,32.0,34.0,36.0,33.0,31.0,36.0,31.0,33.0,34.0,34.0,35.0,37.0,36.0,34.0,36.0,31.0,32.0,35.0,31.0,35.0,36.0,31.0,34.0,30.0,33.0,33.0,35.0,35.0,29.0
91,38.0,33.0,36.0,33.0,31.0,35.0,38.0,36.0,32.0,37.0,31.0,35.0,36.0,32.0,36.0,31.0,34.0,33.0,33.0,34.0,34.0,34.0,30.0,34.0,34.0,34.0,37.0,32.0,35.0,33.0,34.0,34.0,34.0,31.0,36.0,34.0,33.0,32.0,33.0,36.0,34.0,34.0,31.0,33.0,32.0,32.0,34.0,34.0,34.0,37.0,36.0,34.0,32.0,35.0,34.0,33.0,35.0,34.0,32.0,34.0,35.0,33.0,34.0,33.0,32.0,35.0,33.0,35.0,33.0,32.0,34.0,32.0,35.0,37.0,34.0,31.0,37.0,31.0,33.0,34.0,34.0,35.0,37.0,36.0,34.0,36.0,31.0,33.0,36.0,31.0,36.0,37.0,32.0,34.0,30.0,33.0,34.0,35.0,36.0,30.0
92,38.0,34.0,36.0,33.0,31.0,35.0,39.0,37.0,32.0,37.0,32.0,35.0,37.0,33.0,36.0,31.0,35.0,33.0,34.0,34.0,34.0,35.0,31.0,35.0,35.0,34.0,37.0,32.0,35.0,34.0,34.0,34.0,35.0,31.0,36.0,35.0,33.0,32.0,33.0,36.0,34.0,35.0,31.0,33.0,33.0,33.0,35.0,34.0,34.0,37.0,36.0,35.0,32.0,36.0,34.0,34.0,35.0,34.0,33.0,35.0,36.0,34.0,35.0,34.0,33.0,35.0,34.0,35.0,33.0,33.0,34.0,33.0,35.0,37.0,34.0,31.0,37.0,31.0,33.0,35.0,35.0,36.0,37.0,37.0,34.0,36.0,32.0,33.0,36.0,31.0,36.0,37.0,32.0,35.0,31.0,34.0,34.0,36.0,36.0,31.0
93,39.0,34.0,37.0,34.0,31.0,35.0,39.0,37.0,32.0,37.0,33.0,35.0,37.0,33.0,37.0,31.0,35.0,34.0,34.0,35.0,35.0,35.0,31.0,35.0,35.0,35.0,38.0,33.0,36.0,34.0,35.0,34.0,35.0,32.0,37.0,35.0,34.0,32.0,34.0,37.0,34.0,35.0,31.0,34.0,33.0,33.0,35.0,35.0,35.0,38.0,37.0,35.0,33.0,36.0,34.0,35.0,36.0,35.0,33.0,35.0,36.0,34.0,35.0,34.0,34.0,35.0,34.0,35.0,33.0,33.0,35.0,33.0,36.0,38.0,34.0,32.0,38.0,32.0,34.0,35.0,36.0,36.0,38.0,37.0,34.0,37.0,32.0,34.0,37.0,32.0,37.0,38.0,32.0,35.0,31.0,34.0,35.0,36.0,36.0,31.0
94,39.0,34.0,38.0,34.0,32.0,35.0,40.0,37.0,32.0,37.0,34.0,35.0,37.0,34.0,37.0,32.0,35.0,34.0,34.0,35.0,35.0,35.0,31.0,35.0,36.0,35.0,38.0,33.0,36.0,35.0,35.0,35.0,35.0,32.0,37.0,35.0,34.0,33.0,34.0,37.0,34.0,35.0,32.0,34.0,33.0,34.0,35.0,35.0,36.0,38.0,37.0,35.0,33.0,37.0,35.0,36.0,36.0,36.0,34.0,36.0,37.0,35.0,36.0,35.0,34.0,36.0,34.0,35.0,34.0,34.0,35.0,34.0,37.0,38.0,35.0,32.0,38.0,32.0,34.0,35.0,36.0,37.0,38.0,37.0,35.0,38.0,33.0,34.0,37.0,32.0,37.0,38.0,33.0,36.0,32.0,35.0,36.0,36.0,37.0,31.0
95,39.0,34.0,38.0,34.0,32.0,36.0,40.0,37.0,33.0,38.0,34.0,36.0,37.0,34.0,38.0,33.0,35.0,35.0,35.0,36.0,35.0,36.0,32.0,36.0,36.0,35.0,38.0,34.0,36.0,35.0,36.0,35.0,36.0,33.0,37.0,35.0,35.0,33.0,34.0,37.0,35.0,35.0,33.0,34.0,34.0,34.0,35.0,35.0,36.0,39.0,38.0,35.0,33.0,37.0,35.0,36.0,36.0,36.0,35.0,36.0,37.0,35.0,36.0,36.0,35.0,36.0,34.0,35.0,34.0,34.0,35.0,34.0,37.0,38.0,36.0,32.0,38.0,33.0,34.0,36.0,36.0,38.0,39.0,37.0,35.0,38.0,33.0,35.0,37.0,33.0,37.0,38.0,33.0,36.0,33.0,35.0,36.0,37.0,37.0,31.0
96,39.0,35.0,38.0,34.0,32.0,36.0,41.0,38.0,33.0,38.0,34.0,36.0,38.0,34.0,38.0,33.0,36.0,35.0,36.0,36.0,36.0,36.0,32.0,37.0,36.0,35.0,39.0,34.0,36.0,35.0,36.0,36.0,36.0,33.0,38.0,36.0,35.0,33.0,34.0,37.0,35.0,36.0,33.0,35.0,34.0,35.0,35.0,36.0,36.0,39.0,39.0,36.0,33.0,37.0,35.0,37.0,37.0,37.0,35.0,36.0,37.0,35.0,37.0,36.0,36.0,36.0,34.0,36.0,34.0,34.0,36.0,34.0,37.0,39.0,36.0,33.0,38.0,33.0,35.0,36.0,37.0,38.0,39.0,37.0,35.0,38.0,34.0,35.0,38.0,33.0,38.0,39.0,33.0,36.0,33.0,35.0,37.0,37.0,38.0,32.0
97,40.0,35.0,38.0,35.0,33.0,36.0,41.0,38.0,33.0,39.0,34.0,37.0,38.0,34.0,38.0,33.0,36.0,35.0,36.0,36.0,36.0,37.0,32.0,37.0,36.0,36.0,39.0,34.0,36.0,35.0,36.0,37.0,37.0,34.0,38.0,36.0,35.0,33.0,35.0,38.0,36.0,36.0,33.0,35.0,34.0,35.0,35.0,36.0,36.0,40.0,39.0,36.0,33.0,37.0,36.0,37.0,37.0,37.0,35.0,37.0,37.0,36.0,37.0,36.0,36.0,36.0,35.0,36.0,35.0,34.0,36.0,34.0,38.0,39.0,36.0,33.0,39.0,34.0,36.0,37.0,37.0,38.0,40.0,38.0,36.0,38.0,34.0,35.0,38.0,34.0,38.0,39.0,34.0,36.0,33.0,35.0,37.0,37.0,38.0,32.0
