,Trial0,Trial1,Trial10,Trial11,Trial12,Trial13,Trial14,Trial15,Trial16,Trial17,Trial18,Trial19,Trial2,Trial20,Trial21,Trial22,Trial23,Trial24,Trial25,Trial26,Trial27,Trial28,Trial29,Trial3,Trial30,Trial31,Trial32,Trial33,Trial34,Trial35,Trial36,Trial37,Trial38,Trial39,Trial4,Trial40,Trial41,Trial42,Trial43,Trial44,Trial45,Trial46,Trial47,Trial48,Trial49,Trial5,Trial50,Trial51,Trial52,Trial53,Trial54,Trial55,Trial56,Trial57,Trial58,Trial59,Trial6,Trial60,Trial61,Trial62,Trial63,Trial64,Trial65,Trial66,Trial67,Trial68,Trial69,Trial7,Trial70,Trial71,Trial72,Trial73,Trial74,Trial75,Trial76,Trial77,Trial78,Trial79,Trial8,Trial80,Trial81,Trial82,Trial83,Trial84,Trial85,Trial86,Trial87,Trial88,Trial89,Trial9,Trial90,Trial91,Trial92,Trial93,Trial94,Trial95,Trial96,Trial97,Trial98,Trial99
65,17.0,19.0,18.0,18.0,19.0,18.0,20.0,16.0,20.0,22.0,19.0,17.0,17.0,21.0,18.0,17.0,20.0,16.0,18.0,17.0,17.0,19.0,19.0,18.0,19.0,18.0,18.0,21.0,19.0,17.0,18.0,18.0,18.0,17.0,17.0,19.0,19.0,19.0,22.0,18.0,20.0,19.0,19.0,18.0,19.0,18.0,18.0,18.0,19.0,19.0,18.0,17.0,17.0,18.0,19.0,20.0,21.0,17.0,18.0,20.0,16.0,18.0,17.0,17.0,19.0,17.0,17.0,19.0,17.0,18.0,18.0,19.0,17.0,19.0,17.0,18.0,17.0,19.0,18.0,18.0,19.0,18.0,18.0,18.0,19.0,18.0,20.0,17.0,18.0,17.0,21.0,19.0,19.0,18.0,20.0,17.0,17.0,18.0,19.0,19.0
66,18.0,19.0,18.0,18.0,19.0,18.0,20.0,16.0,20.0,22.0,19.0,18.0,18.0,21.0,19.0,18.0,20.0,17.0,18.0,17.0,17.0,19.0,19.0,18.0,19.0,19.0,18.0,21.0,19.0,17.0,18.0,18.0,18.0,17.0,17.0,19.0,19.0,20.0,23.0,18.0,20.0,19.0,19.0,18.0,19.0,19.0,18.0,19.0,19.0,19.0,18.0,17.0,17.0,18.0,20.0,20.0,21.0,18.0,18.0,20.0,16.0,19.0,17.0,18.0,19.0,18.0,18.0,19.0,17.0,18.0,18.0,20.0,18.0,19.0,17.0,18.0,17.0,19.0,18.0,18.0,19.0,18.0,18.0,18.0,20.0,18.0,20.0,17.0,18.0,17.0,21.0,19.0,19.0,19.0,20.0,17.0,18.0,18.0,19.0,19.0
67,18.0,19.0,19.0,18.0,19.0,18.0,21.0,16.0,21.0,22.0,19.0,18.0,18.0,21.0,19.0,18.0,20.0,17.0,18.0,17.0,17.0,19.0,20.0,18.0,19.0,19.0,18.0,21.0,19.0,18.0,18.0,19.0,18.0,17.0,17.0,20.0,19.0,20.0,23.0,18.0,20.0,19.0,19.0,19.0,19.0,20.0,18.0,19.0,19.0,20.0,18.0,18.0,18.0,19.0,20.0,20.0,21.0,18.0,19.0,21.0,16.0,19.0,18.0,18.0,19.0,18.0,18.0,19.0,18.0,18.0,18.0,20.0,18.0,20.0,18.0,19.0,17.0,20.0,18.0,18.0,19.0,18.0,18.0,19.0,20.0,19.0,20.0,17.0,18.0,18.0,21.0,19.0,19.0,19.0,21.0,17.0,18.0,19.0,20.0,19.0
68,19.0,20.0,19.0,18.0,20.0,19.0,21.0,17.0,21.0,23.0,19.0,18.0,18.0,22.0,19.0,18.0,21.0,17.0,19.0,17.0,18.0,19.0,20.0,18.0,20.0,19.0,19.0,21.0,19.0,18.0,18.0,19.0,18.0,17.0,18.0,20.0,19.0,21.0,23.0,18.0,20.0,20.0,19.0,20.0,19.0,20.0,19.0,19.0,19.0,20.0,18.0,18.0,18.0,19.0,21.0,20.0,22.0,18.0,19.0,21.0,17.0,19.0,18.0,18.0,20.0,18.0,18.0,19.0,18.0,18.0,19.0,20.0,18.0,20.0,18.0,19.0,18.0,20.0,18.0,18.0,19.0,18.0,18.0,19.0,20.0,19.0,20.0,18.0,19.0,18.0,22.0,19.0,19.0,19.0,21.0,18.0,18.0,19.0,20.0,20.0
69,19.0,20.0,19.0,19.0,20.0,19.0,22.0,17.0,21.0,23.0,20.0,19.0,19.0,22.0,19.0,18.0,21.0,17.0,19.0,18.0,18.0,20.0,20.0,19.0,20.0,20.0,19.0,21.0,19.0,18.0,18.0,19.0,18.0,18.0,18.0,21.0,20.0,21.0,24.0,19.0,20.0,20.0,20.0,20.0,19.0,20.0,19.0,19.0,20.0,20.0,18.0,18.0,18.0,19.0,21.0,21.0,23.0,19.0,19.0,21.0,17.0,19.0,18.0,19.0,20.0,19.0,18.0,19.0,18.0,18.0,20.0,20.0,19.0,20.0,18.0,19.0,18.0,20.0,19.0,19.0,19.0,19.0,18.0,19.0,21.0,19.0,21.0,18.0,19.0,18.0,22.0,20.0,19.0,19.0,21.0,18.0,18.0,19.0,20.0,20.0
70,19.0,20.0,19.0,19.0,20.0,19.0,22.0,17.0,21.0,23.0,20.0,19.0,19.0,22.0,20.0,18.0,21.0,18.0,19.0,18.0,18.0,20.0,21.0,19.0,21.0,20.0,19.0,22.0,19.0,18.0,19.0,19.0,19.0,18.0,19.0,21.0,20.0,21.0,24.0,19.0,21.0,20.0,20.0,20.0,20.0,20.0,19.0,20.0,20.0,20.0,18.0,18.0,18.0,19.0,21.0,21.0,23.0,19.0,19.0,21.0,17.0,19.0,18.0,19.0,20.0,19.0,18.0,19.0,18.0,19.0,20.0,21.0,19.0,21.0,18.0,19.0,18.0,20.0,19.0,19.0,19.0,20.0,18.0,20.0,21.0,20.0,21.0,18.0,19.0,18.0,22.0,20.0,20.0,20.0,21.0,19.0,18.0,19.0,21.0,20.0
71,19.0,20.0,19.0,19.0,20.0,20.0,22.0,17.0,22.0,24.0,21.0,19.0,19.0,22.0,20.0,19.0,21.0,18.0,20.0,18.0,19.0,20.0,22.0,19.0,21.0,20.0,20.0,22.0,19.0,19.0,19.0,19.0,19.0,18.0,19.0,21.0,20.0,22.0,24.0,20.0,21.0,20.0,20.0,20.0,20.0,21.0,19.0,21.0,20.0,20.0,19.0,19.0,18.0,19.0,21.0,21.0,23.0,19.0,20.0,21.0,17.0,20.0,18.0,19.0,20.0,20.0,19.0,20.0,18.0,19.0,20.0,21.0,19.0,21.0,19.0,20.0,18.0,21.0,19.0,19.0,20.0,20.0,19.0,20.0,21.0,20.0,21.0,18.0,20.0,19.0,22.0,20.0,20.0,20.0,22.0,19.0,18.0,19.0,21.0,20.0
72,19.0,20.0,20.0,20.0,20.0,20.0,22.0,18.0,22.0,24.0,21.0,19.0,19.0,23.0,20.0,19.0,22.0,18.0,20.0,18.0,19.0,21.0,22.0,19.0,21.0,20.0,20.0,22.0,20.0,19.0,19.0,20.0,19.0,18.0,19.0,21.0,21.0,22.0,24.0,20.0,21.0,20.0,20.0,20.0,20.0,21.0,20.0,21.0,20.0,20.0,19.0,19.0,19.0,19.0,21.0,21.0,23.0,20.0,20.0,22.0,17.0,20.0,18.0,19.0,20.0,20.0,19.0,20.0,18.0,19.0,20.0,21.0,19.0,21.0,19.0,20.0,18.0,21.0,19.0,20.0,20.0,20.0,19.0,20.0,21.0,20.0,22.0,19.0,20.0,19.0,22.0,21.0,20.0,21.0,22.0,19.0,19.0,19.0,21.0,20.0
73,20.0,20.0,20.0,20.0,20.0,20.0,22.0,18.0,23.0,24.0,21.0,19.0,19.0,24.0,20.0,19.0,23.0,19.0,20.0,19.0,19.0,22.0,22.0,19.0,21.0,21.0,20.0,22.0,20.0,19.0,19.0,20.0,20.0,18.0,19.0,22.0,21.0,22.0,25.0,20.0,22.0,21.0,20.0,20.0,21.0,21.0,21.0,21.0,20.0,20.0,20.0,20.0,19.0,20.0,21.0,22.0,23.0,20.0,20.0,22.0,18.0,20.0,19.0,20.0,21.0,20.0,19.0,20.0,19.0,20.0,21.0,22.0,19.0,21.0,19.0,20.0,19.0,21.0,20.0,20.0,20.0,20.0,19.0,20.0,22.0,21.0,22.0,19.0,20.0,19.0,23.0,21.0,20.0,21.0,22.0,19.0,19.0,20.0,21.0,21.0
74,20.0,21.0,21.0,20.0,21.0,20.0,22.0,18.0,23.0,24.0,22.0,20.0,19.0,24.0,20.0,19.0,23.0,19.0,20.0,19.0,19.0,22.0,22.0,19.0,22.0,21.0,20.0,23.0,21.0,19.0,20.0,21.0,20.0,19.0,20.0,22.0,22.0,23.0,25.0,21.0,22.0,21.0,21.0,20.0,21.0,21.0,21.0,22.0,21.0,21.0,20.0,21.0,19.0,20.0,22.0,22.0,23.0,20.0,21.0,22.0,18.0,20.0,19.0,20.0,21.0,20.0,19.0,21.0,20.0,20.0,21.0,22.0,20.0,22.0,19.0,21.0,19.0,22.0,20.0,20.0,21.0,21.0,20.0,21.0,23.0,21.0,22.0,19.0,20.0,19.0,23.0,22.0,21.0,21.0,22.0,19.0,20.0,20.0,22.0,21.0
75,20.0,21.0,21.0,20.0,21.0,20.0,22.0,19.0,24.0,24.0,22.0,20.0,20.0,25.0,21.0,19.0,23.0,19.0,21.0,20.0,19.0,22.0,22.0,19.0,22.0,21.0,20.0,23.0,21.0,19.0,20.0,21.0,21.0,19.0,20.0,22.0,22.0,23.0,25.0,21.0,22.0,21.0,21.0,21.0,22.0,21.0,21.0,22.0,21.0,21.0,20.0,21.0,19.0,20.0,22.0,22.0,24.0,20.0,21.0,22.0,18.0,20.0,19.0,20.0,21.0,20.0,19.0,21.0,20.0,20.0,21.0,22.0,20.0,22.0,19.0,21.0,19.0,22.0,20.0,20.0,21.0,21.0,21.0,21.0,23.0,21.0,22.0,19.0,20.0,19.0,24.0,22.0,21.0,21.0,23.0,20.0,20.0,20.0,22.0,22.0
76,21.0,22.0,22.0,21.0,21.0,21.0,22.0,19.0,24.0,25.0,22.0,20.0,20.0,25.0,21.0,20.0,23.0,19.0,21.0,20.0,19.0,22.0,23.0,20.0,22.0,22.0,20.0,23.0,22.0,20.0,21.0,22.0,21.0,19.0,20.0,22.0,22.0,23.0,25.0,21.0,22.0,21.0,21.0,21.0,22.0,22.0,21.0,22.0,21.0,21.0,20.0,21.0,20.0,21.0,22.0,22.0,24.0,21.0,21.0,22.0,19.0,20.0,19.0,20.0,21.0,20.0,19.0,21.0,21.0,20.0,22.0,22.0,20.0,22.0,19.0,21.0,19.0,22.0,20.0,20.0,21.0,21.0,21.0,21.0,23.0,21.0,22.0,20.0,21.0,19.0,24.0,22.0,21.0,21.0,23.0,20.0,20.0,21.0,22.0,22.0
77,21.0,22.0,22.0,21.0,22.0,21.0,22.0,19.0,24.0,25.0,23.0,21.0,20.0,25.0,21.0,20.0,24.0,19.0,21.0,20.0,20.0,22.0,23.0,20.0,22.0,22.0,21.0,23.0,22.0,20.0,21.0,22.0,21.0,20.0,20.0,23.0,23.0,24.0,25.0,21.0,23.0,22.0,21.0,21.0,22.0,22.0,21.0,23.0,22.0,21.0,21.0,21.0,20.0,21.0,22.0,23.0,24.0,21.0,21.0,22.0,19.0,21.0,20.0,20.0,22.0,20.0,20.0,21.0,22.0,21.0,22.0,22.0,20.0,22.0,20.0,21.0,19.0,22.0,21.0,20.0,22.0,21.0,21.0,21.0,23.0,22.0,23.0,20.0,21.0,20.0,25.0,22.0,21.0,21.0,24.0,20.0,20.0,21.0,23.0,22.0
78,22.0,22.0,22.0,21.0,22.0,21.0,23.0,19.0,24.0,26.0,23.0,22.0,20.0,25.0,22.0,20.0,24.0,20.0,22.0,20.0,20.0,22.0,23.0,21.0,22.0,22.0,21.0,24.0,22.0,20.0,21.0,22.0,21.0,20.0,20.0,23.0,23.0,24.0,25.0,22.0,23.0,22.0,21.0,22.0,22.0,22.0,21.0,23.0,22.0,21.0,21.0,21.0,20.0,21.0,23.0,24.0,25.0,21.0,22.0,23.0,19.0,21.0,21.0,21.0,22.0,20.0,20.0,22.0,22.0,21.0,22.0,23.0,20.0,22.0,21.0,22.0,20.0,23.0,21.0,21.0,22.0,21.0,21.0,22.0,23.0,22.0,23.0,20.0,21.0,20.0,25.0,22.0,22.0,21.0,25.0,21.0,20.0,21.0,23.0,22.0
79,22.0,22.0,23.0,21.0,22.0,21.0,23.0,20.0,24.0,26.0,23.0,22.0,21.0,25.0,22.0,21.0,24.0,20.0,22.0,20.0,20.0,23.0,24.0,21.0,23.0,22.0,21.0,24.0,23.0,20.0,21.0,22.0,21.0,20.0,21.0,23.0,23.0,24.0,25.0,22.0,24.0,22.0,21.0,22.0,22.0,22.0,21.0,23.0,23.0,22.0,21.0,22.0,21.0,22.0,23.0,24.0,25.0,21.0,22.0,23.0,19.0,21.0,21.0,21.0,22.0,21.0,21.0,22.0,22.0,22.0,22.0,23.0,20.0,23.0,21.0,23.0,20.0,23.0,21.0,21.0,22.0,22.0,21.0,22.0,23.0,22.0,23.0,20.0,21.0,20.0,26.0,22.0,22.0,22.0,25.0,21.0,21.0,21.0,23.0,22.0
80,22.0,23.0,23.0,21.0,22.0,22.0,23.0,20.0,24.0,27.0,23.0,22.0,21.0,26.0,22.0,22.0,25.0,21.0,22.0,20.0,21.0,23.0,24.0,21.0,23.0,22.0,21.0,25.0,23.0,21.0,21.0,22.0,21.0,20.0,21.0,23.0,24.0,24.0,26.0,22.0,24.0,22.0,22.0,22.0,22.0,23.0,21.0,24.0,23.0,22.0,22.0,22.0,21.0,22.0,23.0,24.0,25.0,21.0,22.0,24.0,20.0,22.0,21.0,22.0,22.0,22.0,21.0,23.0,22.0,22.0,23.0,23.0,21.0,23.0,22.0,23.0,20.0,23.0,21.0,21.0,23.0,22.0,22.0,23.0,23.0,22.0,23.0,21.0,22.0,20.0,26.0,23.0,22.0,22.0,25.0,21.0,22.0,22.0,23.0,23.0
81,22.0,23.0,23.0,22.0,23.0,22.0,23.0,20.0,25.0,27.0,23.0,22.0,21.0,26.0,22.0,22.0,25.0,21.0,22.0,20.0,21.0,23.0,25.0,22.0,23.0,22.0,22.0,25.0,23.0,21.0,22.0,22.0,22.0,20.0,21.0,24.0,24.0,25.0,26.0,22.0,24.0,23.0,22.0,23.0,23.0,23.0,22.0,24.0,23.0,22.0,22.0,22.0,21.0,22.0,23.0,25.0,25.0,22.0,23.0,24.0,20.0,22.0,21.0,22.0,22.0,22.0,22.0,23.0,23.0,23.0,23.0,23.0,21.0,24.0,22.0,23.0,21.0,23.0,21.0,22.0,23.0,22.0,22.0,24.0,23.0,22.0,23.0,21.0,22.0,20.0,26.0,23.0,22.0,22.0,25.0,22.0,22.0,22.0,23.0,23.0
82,22.0,24.0,23.0,22.0,23.0,22.0,24.0,20.0,25.0,27.0,23.0,22.0,22.0,26.0,22.0,22.0,25.0,21.0,23.0,20.0,21.0,23.0,25.0,22.0,24.0,23.0,22.0,25.0,23.0,22.0,22.0,23.0,22.0,21.0,21.0,24.0,24.0,25.0,27.0,22.0,24.0,23.0,23.0,23.0,23.0,23.0,22.0,24.0,23.0,22.0,22.0,23.0,22.0,23.0,23.0,25.0,26.0,22.0,23.0,24.0,20.0,22.0,22.0,22.0,23.0,23.0,22.0,23.0,23.0,23.0,23.0,24.0,21.0,24.0,22.0,23.0,21.0,23.0,22.0,22.0,23.0,23.0,22.0,24.0,23.0,23.0,23.0,21.0,22.0,21.0,26.0,23.0,23.0,22.0,25.0,22.0,22.0,23.0,24.0,23.0
83,22.0,24.0,24.0,22.0,23.0,22.0,24.0,21.0,26.0,27.0,24.0,22.0,22.0,26.0,23.0,22.0,26.0,21.0,23.0,21.0,22.0,24.0,25.0,22.0,24.0,23.0,22.0,25.0,23.0,22.0,22.0,23.0,22.0,21.0,21.0,24.0,24.0,25.0,27.0,23.0,24.0,23.0,23.0,23.0,24.0,24.0,22.0,24.0,23.0,23.0,22.0,23.0,22.0,23.0,24.0,25.0,27.0,22.0,23.0,25.0,21.0,22.0,23.0,22.0,23.0,23.0,22.0,23.0,23.0,23.0,23.0,24.0,22.0,24.0,22.0,24.0,21.0,24.0,22.0,22.0,23.0,23.0,22.0,24.0,24.0,23.0,24.0,22.0,22.0,21.0,27.0,23.0,24.0,23.0,25.0,22.0,22.0,23.0,24.0,24.0
84,22.0,24.0,24.0,23.0,24.0,23.0,24.0,21.0,26.0,28.0,25.0,22.0,22.0,27.0,23.0,22.0,26.0,22.0,23.0,21.0,22.0,24.0,25.0,23.0,24.0,23.0,23.0,25.0,23.0,22.0,22.0,23.0,22.0,21.0,21.0,25.0,25.0,25.0,28.0,24.0,24.0,24.0,23.0,23.0,24.0,24.0,23.0,24.0,24.0,23.0,22.0,23.0,22.0,24.0,24.0,25.0,27.0,22.0,23.0,25.0,21.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,24.0,23.0,25.0,22.0,24.0,22.0,24.0,22.0,24.0,22.0,22.0,23.0,23.0,22.0,24.0,24.0,23.0,24.0,22.0,23.0,21.0,27.0,23.0,24.0,23.0,26.0,22.0,22.0,23.0,24.0,24.0
85,23.0,24.0,25.0,23.0,24.0,23.0,24.0,21.0,27.0,28.0,25.0,23.0,22.0,27.0,23.0,22.0,27.0,22.0,23.0,22.0,22.0,24.0,25.0,23.0,24.0,24.0,23.0,25.0,24.0,22.0,23.0,23.0,22.0,21.0,22.0,25.0,25.0,26.0,28.0,24.0,24.0,24.0,23.0,23.0,24.0,24.0,23.0,25.0,24.0,23.0,23.0,23.0,23.0,24.0,24.0,26.0,27.0,23.0,24.0,25.0,22.0,23.0,23.0,23.0,24.0,23.0,23.0,24.0,23.0,24.0,24.0,25.0,22.0,24.0,23.0,24.0,22.0,25.0,22.0,23.0,23.0,24.0,23.0,24.0,24.0,23.0,24.0,22.0,23.0,21.0,27.0,24.0,24.0,23.0,26.0,23.0,22.0,23.0,25.0,24.0
86,23.0,24.0,25.0,23.0,24.0,23.0,25.0,22.0,27.0,29.0,25.0,23.0,23.0,27.0,23.0,23.0,27.0,22.0,24.0,23.0,22.0,24.0,25.0,24.0,24.0,24.0,23.0,25.0,24.0,22.0,23.0,23.0,22.0,22.0,22.0,25.0,25.0,26.0,28.0,24.0,25.0,25.0,24.0,24.0,25.0,24.0,23.0,25.0,24.0,23.0,23.0,23.0,23.0,25.0,24.0,26.0,27.0,23.0,24.0,25.0,22.0,23.0,23.0,23.0,24.0,23.0,23.0,24.0,23.0,24.0,24.0,25.0,22.0,25.0,23.0,24.0,22.0,25.0,23.0,23.0,24.0,24.0,23.0,24.0,25.0,23.0,25.0,23.0,24.0,21.0,27.0,24.0,25.0,23.0,27.0,23.0,23.0,23.0,25.0,24.0
87,23.0,24.0,25.0,24.0,25.0,24.0,26.0,22.0,27.0,29.0,25.0,23.0,23.0,28.0,24.0,23.0,27.0,22.0,24.0,23.0,23.0,25.0,26.0,24.0,24.0,24.0,23.0,26.0,25.0,22.0,23.0,24.0,23.0,22.0,22.0,25.0,26.0,26.0,29.0,24.0,25.0,25.0,24.0,24.0,25.0,24.0,24.0,25.0,24.0,24.0,23.0,23.0,23.0,25.0,24.0,26.0,28.0,23.0,24.0,26.0,22.0,23.0,23.0,23.0,25.0,23.0,24.0,24.0,23.0,24.0,24.0,25.0,23.0,25.0,23.0,24.0,23.0,25.0,23.0,23.0,24.0,24.0,23.0,24.0,25.0,23.0,25.0,23.0,24.0,22.0,27.0,24.0,25.0,24.0,27.0,23.0,23.0,24.0,25.0,24.0
88,23.0,24.0,25.0,24.0,25.0,25.0,26.0,22.0,27.0,30.0,26.0,23.0,24.0,28.0,24.0,23.0,28.0,22.0,24.0,23.0,23.0,25.0,26.0,24.0,25.0,25.0,23.0,26.0,25.0,23.0,24.0,24.0,23.0,22.0,23.0,26.0,26.0,27.0,29.0,24.0,25.0,25.0,24.0,24.0,25.0,24.0,24.0,26.0,24.0,24.0,23.0,24.0,23.0,25.0,24.0,27.0,28.0,24.0,25.0,26.0,22.0,23.0,23.0,23.0,25.0,23.0,24.0,24.0,24.0,24.0,25.0,26.0,23.0,25.0,23.0,25.0,23.0,26.0,23.0,23.0,24.0,24.0,23.0,24.0,25.0,24.0,25.0,23.0,24.0,22.0,28.0,24.0,25.0,24.0,27.0,24.0,23.0,24.0,25.0,24.0
89,24.0,24.0,26.0,24.0,25.0,25.0,26.0,23.0,27.0,30.0,27.0,23.0,24.0,28.0,24.0,24.0,28.0,23.0,24.0,24.0,24.0,26.0,26.0,24.0,25.0,25.0,24.0,26.0,25.0,23.0,24.0,24.0,23.0,23.0,23.0,26.0,26.0,27.0,29.0,25.0,25.0,25.0,25.0,24.0,26.0,25.0,25.0,26.0,25.0,24.0,24.0,24.0,23.0,25.0,25.0,27.0,28.0,24.0,25.0,26.0,22.0,24.0,24.0,24.0,26.0,24.0,24.0,24.0,25.0,25.0,25.0,26.0,23.0,25.0,23.0,25.0,23.0,26.0,23.0,23.0,24.0,24.0,24.0,25.0,25.0,25.0,26.0,24.0,24.0,23.0,28.0,24.0,25.0,25.0,27.0,24.0,23.0,24.0,26.0,25.0
90,24.0,25.0,26.0,24.0,25.0,25.0,26.0,23.0,27.0,30.0,27.0,24.0,24.0,28.0,24.0,24.0,28.0,23.0,24.0,24.0,24.0,26.0,26.0,24.0,25.0,25.0,24.0,27.0,25.0,23.0,24.0,24.0,23.0,23.0,23.0,26.0,26.0,27.0,29.0,25.0,26.0,25.0,25.0,25.0,26.0,25.0,25.0,26.0,25.0,24.0,24.0,24.0,23.0,25.0,25.0,28.0,28.0,25.0,25.0,27.0,23.0,25.0,24.0,24.0,26.0,24.0,24.0,25.0,25.0,25.0,25.0,26.0,23.0,25.0,23.0,25.0,23.0,27.0,23.0,24.0,24.0,24.0,24.0,25.0,25.0,25.0,26.0,24.0,24.0,23.0,28.0,25.0,25.0,25.0,27.0,24.0,23.0,25.0,26.0,25.0
91,24.0,25.0,26.0,24.0,25.0,25.0,26.0,23.0,28.0,30.0,27.0,24.0,24.0,29.0,25.0,25.0,28.0,23.0,25.0,24.0,24.0,26.0,27.0,24.0,25.0,25.0,24.0,27.0,26.0,23.0,24.0,25.0,24.0,23.0,23.0,26.0,26.0,28.0,29.0,25.0,26.0,25.0,25.0,25.0,27.0,25.0,26.0,26.0,26.0,25.0,25.0,24.0,23.0,26.0,25.0,28.0,28.0,25.0,25.0,27.0,23.0,25.0,24.0,25.0,26.0,24.0,24.0,25.0,25.0,25.0,26.0,27.0,23.0,26.0,23.0,26.0,24.0,27.0,24.0,24.0,25.0,25.0,24.0,25.0,25.0,25.0,26.0,24.0,24.0,23.0,28.0,25.0,26.0,25.0,27.0,24.0,24.0,25.0,26.0,25.0
92,25.0,25.0,26.0,24.0,26.0,25.0,26.0,23.0,28.0,30.0,28.0,24.0,24.0,29.0,25.0,25.0,28.0,24.0,25.0,24.0,24.0,26.0,27.0,25.0,25.0,26.0,24.0,27.0,26.0,24.0,24.0,25.0,24.0,23.0,24.0,26.0,26.0,28.0,29.0,26.0,26.0,25.0,25.0,25.0,27.0,25.0,26.0,27.0,26.0,25.0,25.0,24.0,24.0,26.0,26.0,28.0,28.0,25.0,26.0,28.0,23.0,25.0,25.0,25.0,26.0,24.0,25.0,25.0,25.0,26.0,26.0,27.0,24.0,26.0,23.0,26.0,24.0,27.0,25.0,25.0,25.0,25.0,24.0,26.0,26.0,26.0,26.0,24.0,24.0,23.0,28.0,25.0,26.0,26.0,27.0,25.0,24.0,25.0,27.0,25.0
93,25.0,25.0,26.0,24.0,26.0,26.0,26.0,24.0,28.0,30.0,28.0,24.0,25.0,29.0,25.0,25.0,28.0,24.0,25.0,24.0,24.0,27.0,27.0,25.0,26.0,26.0,24.0,27.0,26.0,24.0,24.0,25.0,24.0,23.0,24.0,27.0,27.0,28.0,30.0,26.0,27.0,26.0,26.0,25.0,27.0,26.0,26.0,27.0,26.0,25.0,25.0,24.0,24.0,26.0,26.0,29.0,29.0,25.0,26.0,28.0,23.0,25.0,25.0,25.0,27.0,24.0,25.0,25.0,26.0,26.0,26.0,27.0,24.0,27.0,24.0,26.0,24.0,28.0,25.0,26.0,25.0,25.0,24.0,26.0,26.0,26.0,27.0,25.0,25.0,23.0,29.0,26.0,26.0,26.0,28.0,25.0,25.0,26.0,27.0,26.0
94,25.0,25.0,27.0,25.0,26.0,26.0,26.0,24.0,28.0,30.0,28.0,25.0,25.0,29.0,25.0,25.0,29.0,24.0,25.0,25.0,24.0,27.0,28.0,25.0,26.0,26.0,24.0,28.0,26.0,24.0,25.0,26.0,24.0,24.0,24.0,27.0,27.0,29.0,30.0,26.0,27.0,26.0,26.0,26.0,28.0,26.0,26.0,27.0,26.0,25.0,25.0,25.0,24.0,27.0,26.0,29.0,29.0,25.0,26.0,28.0,23.0,25.0,26.0,25.0,27.0,25.0,25.0,25.0,26.0,26.0,27.0,27.0,24.0,27.0,24.0,27.0,24.0,28.0,25.0,26.0,25.0,26.0,24.0,26.0,27.0,26.0,27.0,25.0,25.0,23.0,29.0,26.0,26.0,26.0,28.0,25.0,25.0,26.0,27.0,26.0
95,25.0,26.0,27.0,25.0,26.0,26.0,27.0,24.0,28.0,30.0,28.0,25.0,25.0,30.0,25.0,25.0,29.0,24.0,26.0,26.0,25.0,27.0,28.0,26.0,26.0,26.0,25.0,28.0,27.0,24.0,25.0,26.0,25.0,24.0,25.0,27.0,28.0,29.0,30.0,26.0,27.0,26.0,26.0,26.0,28.0,26.0,26.0,27.0,26.0,25.0,25.0,25.0,24.0,27.0,26.0,29.0,29.0,25.0,26.0,28.0,24.0,25.0,27.0,26.0,27.0,26.0,25.0,26.0,26.0,27.0,27.0,27.0,24.0,27.0,25.0,27.0,24.0,28.0,26.0,26.0,26.0,26.0,25.0,26.0,27.0,27.0,27.0,26.0,26.0,23.0,29.0,26.0,26.0,26.0,28.0,25.0,25.0,26.0,27.0,27.0
96,25.0,26.0,27.0,25.0,27.0,27.0,27.0,25.0,29.0,31.0,28.0,25.0,25.0,30.0,26.0,25.0,29.0,24.0,26.0,26.0,25.0,27.0,28.0,26.0,26.0,26.0,25.0,28.0,27.0,24.0,26.0,26.0,25.0,24.0,25.0,27.0,28.0,29.0,31.0,26.0,27.0,26.0,26.0,26.0,28.0,26.0,27.0,28.0,26.0,26.0,25.0,25.0,25.0,27.0,27.0,29.0,29.0,25.0,27.0,29.0,24.0,26.0,27.0,26.0,27.0,26.0,26.0,26.0,26.0,27.0,28.0,28.0,24.0,27.0,25.0,27.0,24.0,28.0,26.0,27.0,26.0,26.0,25.0,26.0,27.0,27.0,27.0,26.0,26.0,24.0,29.0,27.0,26.0,27.0,28.0,26.0,25.0,26.0,27.0,28.0
97,26.0,27.0,27.0,25.0,27.0,27.0,27.0,25.0,29.0,31.0,28.0,25.0,26.0,30.0,26.0,25.0,30.0,25.0,26.0,26.0,25.0,28.0,29.0,27.0,27.0,27.0,25.0,29.0,27.0,25.0,26.0,26.0,25.0,25.0,25.0,28.0,28.0,30.0,31.0,26.0,27.0,27.0,27.0,26.0,28.0,26.0,27.0,28.0,26.0,26.0,26.0,26.0,25.0,28.0,28.0,30.0,30.0,26.0,27.0,29.0,24.0,26.0,27.0,26.0,27.0,26.0,26.0,26.0,26.0,27.0,28.0,28.0,25.0,27.0,25.0,27.0,25.0,28.0,26.0,27.0,26.0,26.0,25.0,26.0,28.0,27.0,27.0,26.0,26.0,25.0,30.0,27.0,27.0,27.0,29.0,26.0,25.0,27.0,28.0,28.0
